payment_id,order_id,payment_mode,payment_amount,payment_status,payment_date
5001,1001,UPI,65000.00,Success,2024-01-05
5002,1002,"Credit Card",32000.00,Success,2024-01-07
5003,1003,"Debit Card",5000.00,Success,2024-01-10
5004,1004,"Net Banking",7500.00,Pending,2024-01-12
5005,1005,UPI,12000.00,Success,2024-01-15
5006,1006,Cash,1750.00,Success,2024-01-18
5007,1007,UPI,500.00,Success,2024-01-20
5008,1008,"Credit Card",1600.00,Failed,2024-01-22
5009,1009,"Debit Card",2200.00,Success,2024-01-24
5010,1010,UPI,18000.00,Success,2024-01-26
5011,1011,"Net Banking",3000.00,Success,2024-02-01
5012,1012,UPI,2100.00,Success,2024-02-03
5013,1013,"Credit Card",14500.00,Pending,2024-02-05
5014,1014,Cash,1800.00,Success,2024-02-07
5015,1015,"Debit Card",3600.00,Success,2024-02-10
5016,1016,UPI,65000.00,Success,2024-02-12
5017,1017,"Credit Card",64000.00,Success,2024-02-14
5018,1018,"Debit Card",10000.00,Success,2024-02-16
5019,1019,"Net Banking",15000.00,Failed,2024-02-18
5020,1020,UPI,12000.00,Success,2024-02-20
5021,1021,"Credit Card",18000.00,Success,2024-03-01
5022,1022,UPI,3000.00,Success,2024-03-02
5023,1023,Cash,700.00,Success,2024-03-04
5024,1024,"Debit Card",14500.00,Success,2024-03-06
5025,1025,UPI,1350.00,Success,2024-03-08
5026,1026,"Credit Card",3600.00,Success,2024-03-10
5027,1027,UPI,65000.00,Success,2024-03-12
5028,1028,"Net Banking",32000.00,Pending,2024-03-14
5029,1029,"Debit Card",7500.00,Success,2024-03-16
5030,1030,UPI,7500.00,Success,2024-03-18
5031,1031,"Credit Card",24000.00,Success,2024-04-01
5032,1032,Cash,3500.00,Success,2024-04-03
5033,1033,UPI,1000.00,Success,2024-04-05
5034,1034,"Debit Card",4000.00,Success,2024-04-07
5035,1035,"Credit Card",4400.00,Pending,2024-04-09
5036,1036,UPI,18000.00,Success,2024-04-11
5037,1037,"Net Banking",4500.00,Success,2024-04-13
5038,1038,"Debit Card",3500.00,Success,2024-04-15
5039,1039,"Credit Card",14500.00,Success,2024-04-17
5040,1040,Cash,2700.00,Failed,2024-04-19
5041,1041,UPI,7200.00,Success,2024-05-01
5042,1042,"Credit Card",65000.00,Success,2024-05-03
5043,1043,"Debit Card",32000.00,Success,2024-05-05
5044,1044,"Net Banking",36000.00,Success,2024-05-07
5045,1045,UPI,12000.00,Pending,2024-05-09
5046,1046,"Credit Card",7500.00,Success,2024-05-11
5047,1047,Cash,4400.00,Success,2024-05-13
5048,1048,UPI,6000.00,Success,2024-05-15
5049,1049,"Debit Card",12500.00,Success,2024-05-17
5050,1050,"Credit Card",2800.00,Success,2024-05-20
